Model,Scenario,PR 2020 (mm/day),PR 2050 (mm/day),PR 2100 (mm/day),Change 2020→2050,Change 2020→2100
ACCESS-CM2,SSP2-4.5 (Moderate),6.297,7.145,5.807,+0.847,-0.491
ACCESS-CM2,SSP5-8.5 (High emissions),7.112,7.689,7.904,+0.577,+0.792
