system:index,model,pr,scenario,year,.geo
56,ACCESS-CM2,1.693337419304039,ssp245,2076,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,ACCESS-CM2,1.6005050422122094,ssp245,2077,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,ACCESS-CM2,0.20110416036377485,ssp245,2078,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,ACCESS-CM2,1.0107434838050497,ssp245,2079,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,ACCESS-CM2,-0.7091349107976264,ssp245,2080,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,ACCESS-CM2,2.2296420686306067,ssp245,2081,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,ACCESS-CM2,2.175041525644344,ssp245,2082,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,ACCESS-CM2,0.674082761768951,ssp245,2083,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,ACCESS-CM2,0.11903215422580428,ssp245,2084,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,ACCESS-CM2,-0.21723914906688066,ssp245,2085,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,ACCESS-CM2,1.540570605143373,ssp245,2086,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,ACCESS-CM2,1.487329554711665,ssp245,2087,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,ACCESS-CM2,-1.5482501039373358,ssp245,2088,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,ACCESS-CM2,-0.4574058950097713,ssp245,2089,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,ACCESS-CM2,0.522494991164424,ssp245,2090,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,ACCESS-CM2,0.5934849706769988,ssp245,2091,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,ACCESS-CM2,0.7990042598380238,ssp245,2092,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,ACCESS-CM2,1.1054775632942864,ssp245,2093,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,ACCESS-CM2,0.2254529545995434,ssp245,2094,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,ACCESS-CM2,0.40068849717409916,ssp245,2095,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,ACCESS-CM2,2.629413306554898,ssp245,2096,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,ACCESS-CM2,2.322000290734096,ssp245,2097,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,ACCESS-CM2,2.624054960670404,ssp245,2098,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,ACCESS-CM2,3.081537434174971,ssp245,2099,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,ACCESS-CM2,-0.49052606160216977,ssp245,2100,"{""type"":""MultiPoint"",""coordinates"":[]}"
