system:index,model,pr,scenario,year,.geo
0,ACCESS-CM2,7.112066536287963,ssp585,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,ACCESS-CM2,7.5694301492128355,ssp585,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,ACCESS-CM2,8.864107934471985,ssp585,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,ACCESS-CM2,7.928639528158908,ssp585,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,ACCESS-CM2,8.0005559057896,ssp585,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,ACCESS-CM2,5.905679800607603,ssp585,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,ACCESS-CM2,6.809524460949835,ssp585,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,ACCESS-CM2,5.902590574104153,ssp585,2027,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,ACCESS-CM2,6.954127766513485,ssp585,2028,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,ACCESS-CM2,6.257672282308721,ssp585,2029,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,ACCESS-CM2,6.891854159734897,ssp585,2030,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,ACCESS-CM2,8.654956436792004,ssp585,2031,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,ACCESS-CM2,7.5594358316218315,ssp585,2032,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,ACCESS-CM2,6.633571983874735,ssp585,2033,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,ACCESS-CM2,7.365229846755492,ssp585,2034,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,ACCESS-CM2,8.107752051804583,ssp585,2035,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,ACCESS-CM2,5.099229018216759,ssp585,2036,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,ACCESS-CM2,7.883224781383924,ssp585,2037,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,ACCESS-CM2,6.707148319378677,ssp585,2038,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,ACCESS-CM2,6.914288239454373,ssp585,2039,"{""type"":""MultiPoint"",""coordinates"":[]}"
