system:index,model,pr,scenario,year,.geo
57,ACCESS-CM2,7.897980311144363,ssp245,2077,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,ACCESS-CM2,6.498579429295934,ssp245,2078,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,ACCESS-CM2,7.308218752737207,ssp245,2079,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,ACCESS-CM2,5.588340358134535,ssp245,2080,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,ACCESS-CM2,8.52711733756277,ssp245,2081,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,ACCESS-CM2,8.472516794576503,ssp245,2082,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,ACCESS-CM2,6.971558030701106,ssp245,2083,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,ACCESS-CM2,6.416507423157965,ssp245,2084,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,ACCESS-CM2,6.080236119865278,ssp245,2085,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,ACCESS-CM2,7.838045874075532,ssp245,2086,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,ACCESS-CM2,7.784804823643822,ssp245,2087,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,ACCESS-CM2,4.749225164994821,ssp245,2088,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,ACCESS-CM2,5.840069373922389,ssp245,2089,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,ACCESS-CM2,6.819970260096578,ssp245,2090,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,ACCESS-CM2,6.890960239609157,ssp245,2091,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,ACCESS-CM2,7.096479528770184,ssp245,2092,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,ACCESS-CM2,7.402952832226443,ssp245,2093,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,ACCESS-CM2,6.522928223531705,ssp245,2094,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,ACCESS-CM2,6.698163766106251,ssp245,2095,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,ACCESS-CM2,8.926888575487054,ssp245,2096,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,ACCESS-CM2,8.61947555966626,ssp245,2097,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,ACCESS-CM2,8.921530229602563,ssp245,2098,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,ACCESS-CM2,9.379012703107126,ssp245,2099,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,ACCESS-CM2,5.806949207329991,ssp245,2100,"{""type"":""MultiPoint"",""coordinates"":[]}"
